2024/1/1,0
2024/1/2,1
2024/1/3,1
2024/1/4,1
2024/1/5,1
2024/1/6,0
2024/1/7,0
2024/1/8,1
2024/1/9,1
2024/1/10,0
2024/1/11,0
2024/1/12,0
2024/1/13,0
2024/1/14,0
2024/1/15,0
2024/1/16,0
2024/1/17,0
2024/1/18,1
2024/1/19,1
2024/1/20,0
2024/1/21,0
2024/1/22,1
2024/1/23,1
2024/1/24,1
2024/1/25,1
2024/1/26,1
2024/1/27,0
2024/1/28,0
2024/1/29,1
2024/1/30,1
2024/1/31,1
2024/2/1,1
2024/2/2,1
2024/2/3,0
2024/2/4,0
2024/2/5,1
2024/2/6,1
2024/2/7,1
2024/2/8,1
2024/2/9,1
2024/2/10,0
2024/2/11,0
2024/2/12,1
2024/2/13,1
2024/2/14,1
2024/2/15,1
2024/2/16,1
2024/2/17,0
2024/2/18,0
2024/2/19,1
2024/2/20,1
2024/2/21,1
2024/2/22,1
2024/2/23,1
2024/2/24,0
2024/2/25,0
2024/2/26,1
2024/2/27,1
2024/2/28,1
2024/2/29,1
2024/3/1,1
2024/3/2,0
2024/3/3,0
2024/3/4,1
2024/3/5,1
2024/3/6,1
2024/3/7,1
2024/3/8,1
2024/3/9,0
2024/3/10,0
2024/3/11,1
2024/3/12,1
2024/3/13,1
2024/3/14,1
2024/3/15,1
2024/3/16,0
2024/3/17,0
2024/3/18,1
2024/3/19,1
2024/3/20,1
2024/3/21,1
2024/3/22,1
2024/3/23,0
2024/3/24,0
2024/3/25,1
2024/3/26,1
2024/3/27,1
2024/3/28,1
2024/3/29,1
2024/3/30,0
2024/3/31,0
2024/4/1,1
2024/4/2,1
2024/4/3,1
2024/4/4,0
2024/4/5,0
2024/4/6,0
2024/4/7,0
2024/4/8,1
2024/4/9,1
2024/4/10,1
2024/4/11,1
2024/4/12,1
2024/4/13,0
2024/4/14,0
2024/4/15,1
2024/4/16,1
2024/4/17,1
2024/4/18,1
2024/4/19,1
2024/4/20,0
2024/4/21,0
2024/4/22,1
2024/4/23,1
2024/4/24,1
2024/4/25,1
2024/4/26,1
2024/4/27,0
2024/4/28,0
2024/4/29,1
2024/4/30,1
2024/5/1,0
2024/5/2,0
2024/5/3,0
2024/5/4,0
2024/5/5,0
2024/5/6,1
2024/5/7,1
2024/5/8,1
2024/5/9,1
2024/5/10,1
2024/5/11,0
2024/5/12,0
2024/5/13,1
2024/5/14,1
2024/5/15,1
2024/5/16,1
2024/5/17,1
2024/5/18,0
2024/5/19,0
2024/5/20,1
2024/5/21,1
2024/5/22,1
2024/5/23,1
2024/5/24,1
2024/5/25,0
2024/5/26,0
2024/5/27,1
2024/5/28,1
2024/5/29,1
2024/5/30,1
2024/5/31,1
2024/6/1,0
2024/6/2,0
2024/6/3,1
2024/6/4,1
2024/6/5,1
2024/6/6,1
2024/6/7,1
2024/6/8,0
2024/6/9,0
2024/6/10,0
2024/6/11,1
2024/6/12,1
2024/6/13,1
2024/6/14,1
2024/6/15,0
2024/6/16,0
2024/6/17,1
2024/6/18,1
2024/6/19,1
2024/6/20,1
2024/6/21,1
2024/6/22,0
2024/6/23,0
2024/6/24,1
2024/6/25,1
2024/6/26,1
2024/6/27,1
2024/6/28,1
2024/6/29,0
2024/6/30,0
2024/7/1,1
2024/7/2,1
2024/7/3,1
2024/7/4,1
2024/7/5,1
2024/7/6,0
2024/7/7,0
2024/7/8,1
2024/7/9,1
2024/7/10,1
2024/7/11,1
2024/7/12,1
2024/7/13,0
2024/7/14,0
2024/7/15,1
2024/7/16,1
2024/7/17,1
2024/7/18,1
2024/7/19,1
2024/7/20,0
2024/7/21,0
2024/7/22,1
2024/7/23,1
2024/7/24,1
2024/7/25,1
2024/7/26,1
2024/7/27,0
2024/7/28,0
2024/7/29,1
2024/7/30,1
2024/7/31,1
2024/8/1,1
2024/8/2,1
2024/8/3,0
2024/8/4,0
2024/8/5,1
2024/8/6,1
2024/8/7,1
2024/8/8,1
2024/8/9,1
2024/8/10,0
2024/8/11,0
2024/8/12,1
2024/8/13,1
2024/8/14,1
2024/8/15,1
2024/8/16,1
2024/8/17,0
2024/8/18,0
2024/8/19,1
2024/8/20,1
2024/8/21,1
2024/8/22,1
2024/8/23,1
2024/8/24,0
2024/8/25,0
2024/8/26,1
2024/8/27,1
2024/8/28,1
2024/8/29,1
2024/8/30,1
2024/8/31,0
2024/9/1,0
2024/9/2,1
2024/9/3,1
2024/9/4,1
2024/9/5,1
2024/9/6,1
2024/9/7,0
2024/9/8,0
2024/9/9,1
2024/9/10,1
2024/9/11,1
2024/9/12,1
2024/9/13,1
2024/9/14,0
2024/9/15,0
2024/9/16,0
2024/9/17,0
2024/9/18,1
2024/9/19,1
2024/9/20,1
2024/9/21,0
2024/9/22,0
2024/9/23,1
2024/9/24,1
2024/9/25,1
2024/9/26,1
2024/9/27,1
2024/9/28,0
2024/9/29,0
2024/9/30,1
2024/10/1,0
2024/10/2,0
2024/10/3,0
2024/10/4,0
2024/10/5,0
2024/10/6,0
2024/10/7,0
2024/10/8,1
2024/10/9,1
2024/10/10,1
2024/10/11,1
2024/10/12,0
2024/10/13,0
2024/10/14,1
2024/10/15,1
2024/10/16,1
2024/10/17,1
2024/10/18,1
2024/10/19,0
2024/10/20,0
2024/10/21,1
2024/10/22,1
2024/10/23,1
2024/10/24,1
2024/10/25,1
2024/10/26,0
2024/10/27,0
2024/10/28,1
2024/10/29,1
2024/10/30,1
2024/10/31,1
2024/11/1,1
2024/11/2,0
2024/11/3,0
2024/11/4,1
2024/11/5,1
2024/11/6,1
2024/11/7,1
2024/11/8,1
2024/11/9,0
2024/11/10,0
2024/11/11,1
2024/11/12,1
2024/11/13,1
2024/11/14,1
2024/11/15,1
2024/11/16,0
2024/11/17,0
2024/11/18,1
2024/11/19,1
2024/11/20,1
2024/11/21,1
2024/11/22,1
2024/11/23,0
2024/11/24,0
2024/11/25,1
2024/11/26,1
2024/11/27,1
2024/11/28,1
2024/11/29,1
2024/11/30,0
2024/12/1,0
2024/12/2,1
2024/12/3,1
2024/12/4,1
2024/12/5,1
2024/12/6,1
2024/12/7,0
2024/12/8,0
2024/12/9,1
2024/12/10,1
2024/12/11,1
2024/12/12,1
2024/12/13,1
2024/12/14,0
2024/12/15,0
2024/12/16,1
2024/12/17,1
2024/12/18,1
2024/12/19,1
2024/12/20,1
2024/12/21,0
2024/12/22,0
2024/12/23,1
2024/12/24,1
2024/12/25,1
2024/12/26,1
2024/12/27,1
2024/12/28,0
2024/12/29,0
2024/12/30,1
2024/12/31,1
